[11/05 23:49:40] d2.utils.events INFO:  eta: 7:51:28  iter: 979  total_loss: 0.568  loss_cls: 0.136  loss_box_reg: 0.317  loss_rpn_cls: 0.018  loss_rpn_loc: 0.012  time: 2.0084  data_time: 0.0028  lr: 0.002448  max_mem: 4622M
[11/05 23:50:21] d2.utils.events INFO:  eta: 7:50:51  iter: 999  total_loss: 0.383  loss_cls: 0.116  loss_box_reg: 0.203  loss_rpn_cls: 0.013  loss_rpn_loc: 0.008  time: 2.0094  data_time: 0.0027  lr: 0.002498  max_mem: 4622M
[11/05 23:51:01] d2.utils.events INFO:  eta: 7:50:09  iter: 1019  total_loss: 0.546  loss_cls: 0.169  loss_box_reg: 0.362  loss_rpn_cls: 0.015  loss_rpn_loc: 0.010  time: 2.0094  data_time: 0.0028  lr: 0.002500  max_mem: 4622M
[11/05 23:51:42] d2.utils.events INFO:  eta: 7:49:27  iter: 1039  total_loss: 0.422  loss_cls: 0.131  loss_box_reg: 0.258  loss_rpn_cls: 0.012  loss_rpn_loc: 0.006  time: 2.0099  data_time: 0.0028  lr: 0.002500  max_mem: 4622M
[11/05 23:52:22] d2.utils.events INFO:  eta: 7:48:45  iter: 1059  total_loss: 0.450  loss_cls: 0.133  loss_box_reg: 0.287  loss_rpn_cls: 0.018  loss_rpn_loc: 0.012  time: 2.0100  data_time: 0.0027  lr: 0.002500  max_mem: 4622M
[11/05 23:53:03] d2.utils.events INFO:  eta: 7:48:07  iter: 1079  total_loss: 0.386  loss_cls: 0.087  loss_box_reg: 0.267  loss_rpn_cls: 0.010  loss_rpn_loc: 0.006  time: 2.0102  data_time: 0.0028  lr: 0.002500  max_mem: 4622M
[11/05 23:53:43] d2.utils.events INFO:  eta: 7:47:26  iter: 1099  total_loss: 0.446  loss_cls: 0.122  loss_box_reg: 0.284  loss_rpn_cls: 0.012  loss_rpn_loc: 0.007  time: 2.0104  data_time: 0.0030  lr: 0.002500  max_mem: 4622M
[11/05 23:54:24] d2.utils.events INFO:  eta: 7:46:46  iter: 1119  total_loss: 0.316  loss_cls: 0.103  loss_box_reg: 0.216  loss_rpn_cls: 0.009  loss_rpn_loc: 0.008  time: 2.0106  data_time: 0.0030  lr: 0.002500  max_mem: 4622M
[11/05 23:55:03] d2.utils.events INFO:  eta: 7:45:48  iter: 1139  total_loss: 0.440  loss_cls: 0.106  loss_box_reg: 0.253  loss_rpn_cls: 0.019  loss_rpn_loc: 0.010  time: 2.0101  data_time: 0.0028  lr: 0.002500  max_mem: 4622M
[11/05 23:55:44] d2.utils.events INFO:  eta: 7:45:19  iter: 1159  total_loss: 0.434  loss_cls: 0.132  loss_box_reg: 0.271  loss_rpn_cls: 0.007  loss_rpn_loc: 0.007  time: 2.0106  data_time: 0.0029  lr: 0.002500  max_mem: 4622M
